LibID	QualityFilter	Replicate1_NumReads	Replicate2_NumReads	Replicate1_ExpressionMean	Replicate2_ExpressionMean	Replicate1_ExpressionNoise	Replicate2_ExpressionNoise
3250.000000	0.000000	1266.000000	406.000000	1.541000	2.456300	0.141978	0.018010
3251.000000	1.000000	4271.000000	961.000000	4.447400	3.822500	0.143187	0.085089
3252.000000	0.000000	270.000000	443.000000	1.419000	1.803500	0.076010	0.022023
3253.000000	0.000000	2707.000000	984.000000	4.070000	5.680400	0.113098	0.002450
3254.000000	1.000000	1670.000000	2301.000000	1.634100	1.732600	0.123904	0.092781
3255.000000	1.000000	3413.000000	829.000000	3.864400	4.246600	0.077562	0.071824
3256.000000	1.000000	1005.000000	97.000000	3.098900	4.389000	0.041250	0.039006
3257.000000	0.000000	3191.000000	1556.000000	5.452900	5.677600	0.160160	0.133590
3258.000000	0.000000	1765.000000	1339.000000	4.079800	3.463300	0.090782	0.050310
3259.000000	1.000000	4773.000000	4575.000000	6.329100	7.334700	0.114785	0.093391
3260.000000	1.000000	4850.000000	13203.000000	2.602300	2.544100	0.043306	0.047437
3261.000000	1.000000	22031.000000	17552.000000	15.515700	16.496300	0.038338	0.047480
3262.000000	1.000000	5551.000000	11473.000000	2.627000	2.711900	0.040723	0.049684
3263.000000	1.000000	19353.000000	21473.000000	12.859200	13.306100	0.057552	0.055838
3264.000000	0.000000	1438.000000	4919.000000	5.051300	3.621300	0.013179	0.042890
3265.000000	1.000000	22825.000000	22947.000000	13.746700	14.439000	0.046139	0.047089
3266.000000	1.000000	4185.000000	5702.000000	2.767900	2.841500	0.044352	0.060960
3267.000000	1.000000	17588.000000	29769.000000	15.368700	15.666200	0.038534	0.041698
3268.000000	1.000000	3810.000000	10332.000000	4.711600	4.971100	0.046268	0.070384
3269.000000	1.000000	18275.000000	29021.000000	16.293100	16.853400	0.036481	0.056359
3270.000000	1.000000	3576.000000	7604.000000	4.196000	4.213800	0.061058	0.069327
3271.000000	1.000000	20808.000000	30103.000000	13.577700	14.315400	0.055319	0.055554
3272.000000	0.000000	3360.000000	7212.000000	4.720500	4.898300	0.085673	0.085381
3273.000000	1.000000	22625.000000	20532.000000	15.651000	16.128100	0.048974	0.057169
3274.000000	1.000000	3117.000000	7716.000000	4.593800	4.868200	0.071824	0.071985
3275.000000	1.000000	26628.000000	34238.000000	16.158500	16.598100	0.044986	0.054850
3276.000000	1.000000	4608.000000	9213.000000	4.498300	4.580900	0.047611	0.060861
3277.000000	1.000000	29864.000000	49252.000000	17.700800	18.928600	0.038809	0.032870
3278.000000	1.000000	4554.000000	10187.000000	4.713400	4.337200	0.074802	0.079411
3279.000000	1.000000	26237.000000	31496.000000	15.272700	16.368700	0.037791	0.045967
3280.000000	1.000000	5652.000000	9525.000000	3.774900	4.387400	0.056978	0.080826
3281.000000	1.000000	19291.000000	24245.000000	15.332200	15.942800	0.049462	0.046699
3282.000000	0.000000	4451.000000	7592.000000	0.172100	0.190600	0.343982	0.590285
3283.000000	1.000000	8450.000000	9235.000000	3.226600	3.283100	0.162490	0.152881
3284.000000	1.000000	3888.000000	7729.000000	0.154500	0.191100	0.389501	0.361441
3285.000000	1.000000	6595.000000	6859.000000	3.550900	4.142100	0.074365	0.137493
3286.000000	1.000000	3232.000000	2652.000000	0.199900	0.217700	0.438641	0.279841
