Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YBR237W	PRP5		68.0	21.64	51.5	22.49		0.757	0.409		-0.401	0.779											24.345	-2.662		
YBR238C																			Abundance Low	Abundance Low						
YBR239C																			Abundance Low	Abundance Low						
YBR241C			101.5	21.95	99.5	22.63		0.980	0.308		-0.029	0.453											24.72	0.024		
YBR242W			77.0	21.77																Abundance Low			26.955	2.003		
YBR244W	GPX2		462.5	29.86	213.2	25.06		0.461	0.062		-1.117	0.193		1	1								31.24	14.298	28.45	13.339
YBR245C	ISW1		208.5	24.01	170.5	25.02		0.818	0.153		-0.290	0.269											18.845	-0.824	16.455	0.451
YBR247C	ENP1		402.0	28.34																Failed QC			16.995	-0.196		
YBR248C	HIS7		600.0	33.57	1090.5	54.62		1.818	0.136		0.862	0.108				1							15.53	-0.578	15.185	2.138
YBR249C	ARO4		1945.5	76.18	3767.5	157.87		1.937	0.111		0.953	0.083				1							17.31	3.330	11.85	-0.374
YBR251W	MRPS5		67.5	21.64	106.5	23.79		1.578	0.616		0.658	0.564											26.585	-0.290	15.695	-1.256
YBR252W	DUT1		182.0	23.53	173.2	24.23		0.951	0.181		-0.072	0.275											21.97	1.844	17.19	1.787
YBR253W	SRB6		92.0	21.80	49.7	21.75		0.540	0.269		-0.889	0.718											25.19	0.105		
YBR254C	TRS20		63.5	21.41																Abundance Low						
YBR255W																			Abundance Low	Abundance Low						
YBR256C	RIB5																		Abundance Low	Abundance Low						
YBR258C	SHG1				135.2	23.30													Failed QC						16.065	0.018
YBR259W																			Abundance Low	Abundance Low						
YBR260C	RGD1		113.0	22.31	108.5	23.63		0.960	0.282		-0.059	0.424											21.98	-0.891	17.5	0.320
YBR261C					59.5	22.82													Abundance Low						19.245	0.763
YBR262C	FMP51		177.5	23.19	152.8	23.69		0.861	0.175		-0.216	0.293											20.445	-0.168	15.725	-0.114
YBR263W	SHM1		202.5	23.65	228.0	26.43		1.126	0.185		0.171	0.237											22.74	2.637	18.02	2.659
YBR264C	YPT10																		Abundance Low	Abundance Low						
YBR265W	TSC10		109.0	22.06	76.0	22.19		0.697	0.248		-0.520	0.512											23.985	-0.057		
YBR267W	REI1		451.5	29.58	313.5	29.14		0.694	0.079		-0.526	0.164		1											13.7	-0.926
YBR268W	MRPL37		108.0	22.04	202.7	24.82		1.876	0.447		0.908	0.343				1							28.715	5.596	15.2	0.032
YBR269C	FMP21		53.0	21.44	150.6	23.69		2.842	1.233		1.507	0.626				1	1								14.92	-0.834
YBR271W																			Abundance Low	Abundance Low						
YBR272C	HSM3		56.0	21.48																Abundance Low						
YBR273C	UBX7																		Abundance Low	Abundance Low						
YBR274W	CHK1																		Abundance Low	Abundance Low						
YBR275C	RIF1																		Abundance Low	Abundance Low						
YBR278W	DPB3																		Abundance Low	Abundance Low					19.61	0.843
YBR279W	PAF1		282.5	25.54	197.0	25.91		0.697	0.111		-0.520	0.230											17.68	-0.721	15.585	0.159
YBR281C																			Abundance Low	Abundance Low						
YBR282W	MRPL27		86.0	21.90	114.2	22.96		1.328	0.431		0.410	0.468											24.94	0.203	15.565	-0.695
YBR283C	SSH1		1496.0	61.31	947.5	48.45		0.633	0.042		-0.659	0.095		1									14.2	-0.177	12.505	-0.768
YBR286W	APE3																		Abundance Low	Abundance Low						
YBR287W	ZSP1		186.5	23.59	78.5	22.27		0.421	0.131		-1.248	0.448		1	1								23.72	3.709		
YBR288C	APM3		63.0	21.57	56.0	22.53		0.889	0.470		-0.170	0.762											23.55	-3.524		
YBR289W	SNF5				52.5	22.49													Abundance Low							
YBR290W	BSD2		137.0	22.71	87.5	22.40		0.639	0.195		-0.647	0.440											21.56	0.074		
YBR291C	CTP1				199.0	24.70													Abundance Low						16.515	0.311
YBR296C	PHO89																		Abundance Low	Abundance Low						
YBR302C	COS2																		Abundance Low	Abundance Low						
YCL001W	RER1		206.0	23.72	91.5	22.47		0.444	0.120		-1.171	0.391		1	1								22.415	2.438		
YCL005W																			Abundance Low	Abundance Low						
YCL009C	ILV6		528.0	31.59	1045.0	54.02		1.979	0.156		0.985	0.114				1							21.845	5.377	14.655	1.553
YCL010C	SGF29		106.5	22.21	79.0	23.24		0.742	0.268		-0.431	0.520											23.7	0.776	17.12	-0.580
YCL011C	GBP2		85.5	21.89	74.5	23.14		0.871	0.351		-0.199	0.581											23.825	-0.748	17.315	-0.529
YCL014W	BUD3																		Abundance Low	Abundance Low						
YCL016C	DCC1																		Abundance Low	Abundance Low						
YCL017C	NFS1		537.5	31.86	548.5	35.96		1.020	0.090		0.029	0.128											18.645	2.327	13.435	-0.392
YCL024W	KCC4																		Abundance Low	Abundance Low						
YCL025C	AGP1		550.0	31.91	3035.5	126.60		5.519	0.394		2.464	0.103				1	1						38.39	21.617	16.695	4.336
YCL026C-A	FRM2																		Abundance Low	Failed QC/Abundance Low						
YCL027C-A																			No Measurement	No Measurement						
YCL027W	FUS1																		Abundance Low	Abundance Low						
YCL028W	RNQ1		259.5	25.05	244.5	27.15		0.942	0.139		-0.086	0.212											19.675	0.946	15.235	0.168
YCL029C	BIK1																		Abundance Low	Abundance Low						
YCL030C	HIS4		2089.0	80.94	9750.0	392.52		4.667	0.261		2.223	0.081				1	1						17.43	3.500	14.11	2.266
YCL031C	RRP7		339.0	26.83	353.0	30.30		1.041	0.122		0.058	0.168											17.25	-0.441	13.215	-1.188
YCL032W	STE50																		Abundance Low	Abundance Low						
YCL034W	LSB5				69.5	23.09													Abundance Low						17.67	-0.155
YCL035C	GRX1		506.0	30.67	515.8	33.70		1.019	0.091		0.028	0.129											18.93	2.236	15.835	2.006
YCL037C	SRO9		3260.0	120.55	1998.0	89.53		0.613	0.036		-0.706	0.084		1									12.73	-0.650	11.045	-1.549
YCL039W	GID7																		Abundance Low	Abundance Low						
YCL040W	GLK1		145.5	22.85	332.5	29.37		2.285	0.412		1.192	0.260				1	1						27.05	5.689	16.63	2.079
YCL043C	PDI1		407.0	28.45	220.0	26.17		0.541	0.075		-0.888	0.199		1									17.78	0.441	17.16	1.470
YCL044C																			Failed QC	Abundance Low						
YCL045C			525.0	31.19	346.7	28.56		0.660	0.067		-0.599	0.147		1									15.015	-1.537	14.225	-0.130
YCL050C	APA1		1060.0	47.37	592.5	37.86		0.559	0.044		-0.839	0.112		1									15.3	0.356	12.58	-1.144
YCL052C	PBN1		83.5	21.69	65.5	22.01		0.784	0.333		-0.350	0.613											26.625	0.188		
YCL055W	KAR4		123.0	22.47	83.0	23.28		0.675	0.226		-0.567	0.483											23.82	1.518	16.73	-0.756
YCL056C																			Abundance Low	Abundance Low						
YCL057W	PRD1		395.0	28.16	369.0	30.31		0.934	0.102		-0.098	0.157											16.715	-0.568	15.24	0.873
YCL059C	KRR1		376.0	27.70	210.0	25.23		0.559	0.079		-0.840	0.203		1									21.2	3.902	16.53	0.868
YCL061C	MRC1																		Abundance Low	Abundance Low						
YCL064C	CHA1		1002.5	45.52																Abundance Low			23.855	8.779		
YCR002C	CDC10		533.5	31.81	345.5	30.02		0.648	0.068		-0.627	0.152		1									18.925	2.317	14.36	-0.074
YCR003W	MRPL32		202.5	23.92	311.4	27.67		1.538	0.227		0.621	0.213				1							21.34	1.363	13.31	-1.134
YCR004C	YCP4		603.5	33.70	720.5	42.33		1.194	0.097		0.256	0.117											19	2.834	12.46	-1.010
YCR005C	CIT2				168.0	24.90													Abundance Low						21.99	5.705
YCR009C	RVS161		743.5	37.67	700.5	41.54		0.942	0.073		-0.086	0.113											15.285	-0.365	12.925	-0.594
YCR011C	ADP1		207.5	23.99	183.2	24.54		0.883	0.156		-0.180	0.255											19.26	-0.300	15.27	-0.091
YCR012W	PGK1		42839.5	1490.41	35610.5	1394.72		0.831	0.044		-0.267	0.076		1									11.35	-0.554	10.52	-1.055
YCR016W			163.5	23.17	99.5	23.65		0.609	0.168		-0.717	0.399											21.83	1.031	16.485	-0.372
YCR017C	CWH43		83.5	21.86	107.2	22.87		1.284	0.434		0.361	0.487											25.615	0.919	16.875	0.273
YCR018C	SRD1																		Abundance Low	Abundance Low						
YCR018C-A			744.0	37.69	453.5	31.98		0.610	0.053		-0.714	0.125		1									28.345	12.536	28.02	14.079
YCR020C	PET18																		Abundance Low	Abundance Low						
YCR020W-B	HTL1		297.5	25.88	272.3	26.62		0.915	0.120		-0.128	0.189											17.045	-1.162	13.4	-1.342
YCR021C	HSP30		64.5	21.47																Abundance Low						
YCR023C																			Abundance Low	Abundance Low						
YCR024C																			Abundance Low	Abundance Low						
YCR024C-A	PMP1		6641.5	236.45	4041.0	166.96		0.608	0.033		-0.717	0.079		1									14.18	1.390	20.58	8.388
YCR027C	RHB1		80.0	21.64																Abundance Low			23.525	-2.621		
YCR028C	FEN2		167.0	23.01	100.5	22.64		0.602	0.159		-0.733	0.381											21.775	0.856		
YCR028C-A	RIM1		435.0	29.17	453.9	31.69		1.044	0.101		0.062	0.140											20.375	3.338	14.24	0.289
YCR030C	SYP1		192.5	23.70	323.5	29.06		1.681	0.256		0.749	0.220				1							22.355	2.229	14.985	0.356
YCR033W	SNT1																		Abundance Low	Abundance Low						
YCR034W	FEN1		1437.0	59.00	804.0	43.21		0.559	0.038		-0.838	0.098		1									12.555	-1.904		
YCR035C	RRP43		234.0	24.52	177.5	25.46		0.759	0.135		-0.399	0.256													14.19	-1.359
YCR036W	RBK1		156.0	23.03	311.0	29.07		1.994	0.348		0.995	0.252				1							20.945	0.011	13.575	-1.036
YCR037C	PHO87				52.5	21.80													Abundance Low						18.195	0.178
YCR038C	BUD5																		Abundance Low	Abundance Low						
YCR042C	TAF2																		Abundance Low	Abundance Low						
YCR043C			332.0	26.67	202.9	24.86		0.611	0.090		-0.710	0.211		1									16.6	-1.331	15.735	0.465
YCR044C	PER1		142.0	22.79	144.5	23.52		1.018	0.233		0.025	0.330											22.705	1.256	16.485	-0.894
YCR046C	IMG1		161.0	23.12	189.9	24.53		1.180	0.228		0.239	0.279											23.35	2.537	15.405	0.122
YCR047C	BUD23		188.5	23.63	110.0	23.84		0.584	0.146		-0.777	0.361											21.625	1.885	18.82	2.208
YCR048W	ARE1																		Abundance Low	Abundance Low						
YCR051W			106.5	22.21	88.0	23.44		0.826	0.280		-0.275	0.488											23.865	0.775	17.345	0.040
YCR053W	THR4		3806.5	139.18	3691.5	153.37		0.970	0.054		-0.044	0.080											11.72	-1.507	12.45	0.224
YCR054C	CTR86		90.0	21.96	51.5	22.44		0.572	0.286		-0.805	0.720											23.09	-1.286		
YCR057C	PWP2		503.0	30.98	259.0	27.28		0.515	0.063		-0.958	0.176		1									15.565	-1.071	15.575	0.547
YCR059C	YIH1		144.5	22.83	135.5	24.51		0.938	0.225		-0.093	0.346											23.865	2.556	14.98	-1.232
YCR060W	TAH1		75.5	21.57																Abundance Low			27.545	1.342		
YCR061W																			Abundance Low	Failed QC/Abundance Low						
YCR063W	BUD31		186.5	23.59	152.5	23.64		0.818	0.164		-0.291	0.289											19.7	-0.403	15.505	-0.168
YCR065W	HCM1		56.5	21.48																Abundance Low						
YCR067C	SED4		82.0	21.84																Abundance Low			25.2	0.667		
YCR069W	CPR4		68.0	21.47																Abundance Low						
YCR071C	IMG2		115.5	22.35	90.6	22.47		0.785	0.247		-0.350	0.454											24.045	1.306	17.27	0.283
YCR073W-A	SOL2																		Abundance Low	Abundance Low						
YCR077C	PAT1		302.5	25.98	295.5	28.23		0.977	0.125		-0.034	0.185											16.81	-1.298	15.095	0.279
YCR079W																			Abundance Low	Abundance Low						
YCR081W	SRB8																		Abundance Low	Failed QC						
YCR082W	AHC2				50.0	21.76													Abundance Low						19.17	0.943
YCR083W	TRX3																		Abundance Low	Abundance Low						
YCR084C	TUP1				160.0	24.76													Failed QC						17.64	1.505
YCR086W	CSM1																		Abundance Low	Abundance Low						
YCR087C-A			92.0	21.99																Abundance Low			24.29	0.212		
YCR088W	ABP1		1065.0	47.47	931.5	49.10		0.875	0.060		-0.193	0.100											16.895	1.919	13.37	0.117
YCR090C			125.5	22.51	86.6	22.36		0.690	0.217		-0.536	0.454											23.425	1.452	19.665	2.908
YCR092C	MSH3																		Abundance Low	Abundance Low						
YCR093W	CDC39		444.5	29.44	382.5	32.18		0.861	0.092		-0.217	0.154											15.985	-1.016	13.74	-0.603
YCR094W	CDC50		78.5	21.79																Abundance Low			26.835	1.422		
YCR095C			53.0	21.44																Abundance Low						
YDL001W	RMD1																		Abundance Low	Abundance Low						
YDL002C	NHP10		115.5	22.35	74.0	22.40		0.641	0.230		-0.642	0.518											21.57	-1.195		
YDL003W	MCD1		138.5	22.74	58.5	22.48		0.422	0.176		-1.243	0.603														
YDL005C	MED2		74.5	21.73	84.0	23.33		1.128	0.454		0.173	0.581											30.44	5.400	16.8	-0.798
YDL008W	APC11		133.0	22.64	111.6	22.85		0.839	0.223		-0.253	0.384											19.15	-2.503	15.67	-0.665
YDL010W			50.5	21.40																Abundance Low						
YDL012C			59.5	21.54																Abundance Low			25.165	-2.260		
YDL015C	TSC13		854.5	40.67	609.0	36.50		0.713	0.055		-0.489	0.110		1									13.68	-1.736		
YDL017W	CDC7		55.0	21.46																Failed QC						
YDL018C	ERP3		265.5	24.92	246.0	26.29		0.927	0.132		-0.110	0.205											18.455	-0.449	15.18	-0.200
YDL019C	OSH2		114.0	22.33	184.0	25.34		1.614	0.386		0.691	0.345											22.5	-0.793	15.37	-0.402
YDL020C	RPN4																		Abundance Low	Abundance Low						
YDL021W	GPM2																		Abundance Low	Abundance Low						
YDL022W	GPD1		2206.0	84.45	2870.5	123.50		1.301	0.075		0.380	0.083				1							21.74	7.871	17.82	5.469
YDL025C			84.0	21.87	302.0	28.40		3.595	0.995		1.846	0.399				1	1						26.965	1.969	16.475	1.747
YDL027C																			Abundance Low	Abundance Low						
YDL028C	MPS1																		Abundance Low	Abundance Low						
YDL029W	ARP2																		Failed QC	No Measurement						
YDL030W	PRP9																		Abundance Low	Abundance Low						
YDL033C	MTO2																		Abundance Low	Abundance Low						
YDL036C																			Abundance Low	Abundance Low						
YDL040C	NAT1		717.5	36.91	629.0	38.69		0.877	0.070		-0.190	0.116											14.255	-1.478	13.4	-0.250
YDL042C	SIR2		62.0	21.56																Abundance Low						
YDL043C	PRP11																		Abundance Low	Abundance Low						
YDL044C	MTF2																		Abundance Low	Abundance Low						
YDL045C	FAD1																		Abundance Low	Abundance Low						
YDL045W-A	MRP10																		Abundance Low	Abundance Low						
YDL046W	NPC2		74.5	21.74	58.9	21.94		0.790	0.374		-0.340	0.683											25.355	-0.463	16.865	-0.668
YDL047W	SIT4		166.5	23.22	114.5	23.98		0.688	0.173		-0.540	0.363											21.905	1.361	16.88	0.000
YDL048C	STP4																		Abundance Low	Abundance Low						
YDL051W	LHP1		517.0	31.29	370.5	30.76		0.717	0.074		-0.481	0.148		1									16.65	0.115	13.375	-0.959
YDL052C	SLC1		951.0	43.55	671.0	38.52		0.706	0.052		-0.503	0.106		1									13.005	-2.183	13.25	-0.478
YDL053C	PBP4		247.0	24.79	202.9	24.79		0.821	0.130		-0.284	0.228											18.125	-0.764	15.915	0.822
YDL054C	MCH1																		Abundance Low	Abundance Low						
YDL055C	PSA1		23965.5	835.65	14607.0	589.23		0.610	0.032		-0.714	0.077		1												
YDL056W	MBP1																		Abundance Low	Abundance Low						
YDL058W	USO1		252.0	24.89	136.2	23.39		0.541	0.107		-0.887	0.286		1									19.74	0.851	15.975	-0.036
YDL059C	RAD59																		Abundance Low	Abundance Low						
YDL060W	TSR1		410.5	28.54																Failed QC			16.54	-0.542		
YDL061C	RPS29B		2578.5	97.42	1961.6	86.63		0.761	0.044		-0.394	0.084		1									10.9	-2.732	10.61	-1.957
YDL063C			139.5	22.75																Abundance Low			21.45	0.193		
YDL064W	UBC9		588.5	33.24	343.5	28.89		0.584	0.059		-0.777	0.146		1												
YDL065C	PEX19		202.5	23.89	176.0	25.43		0.869	0.162		-0.202	0.269											19.14	-0.509	15.365	-0.253
YDL066W	IDP1		645.5	34.48	1856.5	84.17		2.876	0.202		1.524	0.101				1	1						18.82	2.765	12.77	0.131
YDL067C	COX9																		Abundance Low	Abundance Low						
YDL070W	BDF2		152.0	22.98	72.5	22.84		0.477	0.167		-1.068	0.504											20.99	0.071	18.665	0.348
YDL072C	YET3		692.5	35.84	650.0	37.89		0.939	0.073		-0.091	0.112											16.8	0.924	13.385	-0.349
YDL074C	BRE1		113.5	22.32	90.5	23.21		0.797	0.258		-0.327	0.466											22.6	-0.297	25.035	6.649
YDL076C	RXT3		64.5	21.59	66.5	22.98		1.031	0.496		0.044	0.694											28.125	1.688	16.955	-1.103
YDL077C	VAM6																		Abundance Low	Abundance Low						
YDL078C	MDH3		274.5	25.37	270.5	27.99		0.985	0.137		-0.021	0.200											19.85	1.251	14.005	-0.817
YDL080C	THI3																		Abundance Low	Abundance Low						
YDL081C	RPP1A		6605.0	235.33	5304.9	219.45		0.803	0.044		-0.316	0.079		1									12.115	-0.657		
YDL082W	RPL13A		4069.5	148.19	2970.5	126.95		0.730	0.041		-0.454	0.081		1									11.095	-2.073	9.68	-2.673
YDL083C	RPS16B		415.0	28.66	435.5	32.78		1.049	0.107		0.070	0.147											16.86	-0.259	13.25	-0.806
YDL084W	SUB2																		Abundance Low	Abundance Low						
YDL085C-A			258.5	25.03	278.6	26.78		1.078	0.147		0.108	0.197											18.15	-0.643	15.43	0.789
YDL087C	LUC7																		Abundance Low	Abundance Low						
YDL088C	ASM4		173.0	23.34	176.5	24.23		1.020	0.196		0.029	0.278											22.545	1.862	15.67	-0.845
YDL089W																			Abundance Low	Abundance Low						
YDL090C	RAM1																		Failed QC	Failed QC/Abundance Low						
YDL091C	UBX3																		Abundance Low	Abundance Low						
YDL092W	SRP14		332.5	26.68	275.5	27.14		0.829	0.105		-0.271	0.183											15.74	-2.084	14.26	-0.878
YDL095W	PMT1		111.5	22.09	93.5	22.54		0.838	0.262		-0.255	0.450											22.315	-1.223	17.08	0.200
YDL097C	RPN6		677.0	35.76	446.5	32.96		0.660	0.060		-0.600	0.131		1									13.69	-2.152	12.79	-1.312
YDL098C	SNU23																		Abundance Low	Abundance Low					20.07	1.588
YDL099W			209.5	24.03	196.5	25.95		0.938	0.164		-0.092	0.252											18.76	-0.650	14.98	-0.504
YDL100C	ARR4		521.5	31.42	378.0	31.08		0.725	0.074		-0.464	0.147		1									14.27	-2.191	12.605	-1.704
YDL101C	DUN1																		Abundance Low	Abundance Low						
YDL102W	CDC2		221.5	24.27	200.5	25.70		0.905	0.153		-0.144	0.243											17.62	-1.762	15.395	-0.186
YDL103C	QRI1		201.0	23.86	195.0	25.89		0.970	0.173		-0.044	0.257											19.395	-0.429	15.565	0.096
YDL104C	QRI7																		Abundance Low	Abundance Low						
YDL105W	QRI2																		Abundance Low	Abundance Low						
YDL106C	PHO2																		Abundance Low	Abundance Low						
YDL107W	MSS2																		Abundance Low	Abundance Low						
YDL108W	KIN28		46.5	21.35																Abundance Low						
YDL110C			205.5	23.95	281.7	26.80		1.371	0.206		0.455	0.217											25.45	5.594	16.11	1.438
YDL111C	RRP42		194.5	23.76	135.0	24.48		0.694	0.152		-0.527	0.315											20.04	0.162	16.02	-0.257
YDL112W	TRM3				60.5	23.05													Failed QC							
YDL113C	ATG20				57.0	22.46													Abundance Low							
YDL115C	IWR1																		Abundance Low	Abundance Low						
YDL116W	NUP84		298.0	25.61	227.4	25.53		0.763	0.108		-0.390	0.204											16.48	-1.897	13.785	-1.253
YDL117W	CYK3																		Abundance Low	Abundance Low						
YDL119C					60.0	21.89													Abundance Low							
YDL120W	YFH1		116.5	22.37																No Measurement			21.73	-0.641		
YDL121C			409.5	28.51	277.7	26.64		0.678	0.080		-0.560	0.171		1									16.42	-0.767	15.095	0.456
YDL122W	UBP1		239.5	24.63	194.0	34.79		0.810	0.167		-0.304	0.298											22.86	3.911		
YDL123W	SNA4		335.0	26.76	278.9	26.74		0.832	0.104		-0.265	0.180											18.585	0.835	16.235	1.563
YDL124W			464.0	29.90	577.0	37.48		1.244	0.114		0.314	0.132				1							28.585	11.612	17.67	3.897
YDL125C	HNT1		602.5	33.32	460.1	31.81		0.764	0.068		-0.389	0.128		1									14.665	-1.559	15.525	1.600
YDL126C	CDC48		2023.0	78.90	1576.0	73.02		0.779	0.047		-0.360	0.087		1									15.13	1.142	12.37	-0.415
YDL128W	VCX1		249.0	24.58	129.5	23.22		0.520	0.106		-0.943	0.295		1									21.8	2.820	22.495	3.835
YDL129W																			Abundance Low	Abundance Low						
YDL130W	RPP1B		9142.5	322.58	7561.0	306.07		0.827	0.044		-0.274	0.077		1									11.39	-1.157	9.055	-2.881
YDL130W-A	STF1		140.0	22.55	202.8	25.13		1.449	0.294		0.535	0.293											25.21	3.021		
YDL131W	LYS21		691.5	36.17	2732.5	117.82		3.952	0.268		1.982	0.098				1	1						16.825	1.019	12.495	0.106
YDL132W	CDC53		111.0	22.28	71.0	22.84		0.640	0.243		-0.645	0.547											22.59	0.076	18.545	0.087
YDL133C-A	RPL41B		6413.5	228.17	3744.2	159.99		0.584	0.032		-0.776	0.080		1									12.215	-0.574		
YDL134C	PPH21		129.5	22.58	97.5	23.62		0.753	0.225		-0.409	0.431											20.09	-1.800	15.37	-1.557
YDL135C	RDI1		358.0	27.29	351.2	28.80		0.981	0.110		-0.028	0.162											16.97	-0.646	13.695	-0.542
